CENTRE_CODE	CENTRE	PRE_N_CASE	PRE_N_CONTROL	POST_N_CASE	POST_N_CONTROL	PRE_PROP_CASE	PRE_PROP_CONTROL	POST_PROP_CASE	POST_PROP_CONTROL	PRE_POOLED_SD	PRE_SMD	POST_SMD	Ratio	FACET_LABEL
11009	Newcastle	1204	5272	1204	3337	0.0802666666666667	0.0516250330490301	0.0802666666666667	0.0556166666666667	0.247773906919802	0.115595842894414	0.0994858591303504	1:4	1:4
11010	Leeds	1358	8268	1358	5014	0.0905333333333333	0.0809627794479098	0.0905333333333333	0.0835666666666667	0.279950760564128	0.0341865614729458	0.0248853285936003	1:4	1:4
11011	Bristol	1299	10104	1299	5998	0.0866	0.0989414518071699	0.0866	0.0999666666666667	0.290045238645163	-0.0425500927538696	-0.0460847650149473	1:4	1:4
11012	Barts	286	4797	286	2524	0.0190666666666667	0.04697368807591	0.0190666666666667	0.0420666666666667	0.178143607229316	-0.156654632985622	-0.129109320046456	1:4	1:4
11013	Nottingham	979	6400	979	3806	0.0652666666666667	0.0626707533220395	0.0652666666666667	0.0634333333333333	0.244693746230851	0.010608825867491	0.00749235876099473	1:4	1:4
11014	Sheffield	936	5479	936	3247	0.0624	0.0536520402267898	0.0624	0.0541166666666667	0.233751725989663	0.0374241505005917	0.0354364584828762	1:4	1:4
11016	Liverpool	1065	5106	1065	3240	0.071	0.0499995103847397	0.071	0.054	0.238179091594987	0.0881710039056273	0.0713748628654096	1:4	1:4
11017	Middlesbrough	668	3201	668	1920	0.0445333333333333	0.0313451689662263	0.0445333333333333	0.032	0.190935545281989	0.0690712897257013	0.0656416976463085	1:4	1:4
11018	Hounslow	773	8199	773	4248	0.0515333333333333	0.0802871103886566	0.0515333333333333	0.0708	0.247708234807591	-0.11607921342485	-0.0777796776987741	1:4	1:4
11020	Croydon	727	6591	727	3636	0.0484666666666667	0.0645410836164942	0.0484666666666667	0.0606	0.230752227541785	-0.0696609394460415	-0.0525816520281963	1:4	1:4
11021	Birmingham	772	4411	772	2509	0.0514666666666667	0.0431938582661744	0.0514666666666667	0.0418166666666667	0.212304024647609	0.0389667996837261	0.0454536837726815	1:4	1:4
11022	Swansea	61	378	61	217	0.00406666666666667	0.00370149136808296	0.00406666666666667	0.00361666666666667	0.0622009614822145	0.00587089475599381	0.00723461485605285	1:4	1:4
11023	Wrexham	19	87	19	54	0.00126666666666667	0.000851930552971475	0.00126666666666667	9e-04	0.0325289639362108	0.0127497486396581	0.011272005692702	1:4	1:4
10003	Stockport (pilot)	11	798	11	28	0.000733333333333333	0.0078142595548418	0.000733333333333333	0.00186666666666667	0.0651382854318677	-0.108706057805511	-0.0173988818683102	1:1	1:1
11001	Manchester	414	3191	414	446	0.0276	0.0312472459141607	0.0276	0.0297333333333333	0.168980909479356	-0.0215837749092375	-0.0126247002688428	1:1	1:1
11002	Oxford	345	4503	345	683	0.023	0.0440947503451788	0.023	0.0455333333333333	0.179751777928864	-0.117354891218528	-0.125358055385971	1:1	1:1
11003	Cardiff	564	3166	564	498	0.0376	0.0310024382839964	0.0376	0.0332	0.18197187571771	0.0362559416941894	0.0241795606197171	1:1	1:1
11004	Glasgow	608	3366	608	545	0.0405333333333333	0.0329608993253102	0.0405333333333333	0.0363333333333333	0.188102180560459	0.0402570240571414	0.022328289802308	1:1	1:1
11005	Edinburgh	438	4346	438	742	0.0292	0.0425573584277475	0.0292	0.0494666666666667	0.185867680987577	-0.0718648791267817	-0.10903814239777	1:1	1:1
11006	Stoke	591	3200	591	514	0.0394	0.0313353766610198	0.0394	0.0342666666666667	0.184663356991218	0.0436720282268223	0.0277983321486865	1:1	1:1
11007	Reading	913	6739	913	995	0.0608666666666667	0.0659903447870663	0.0608666666666667	0.0663333333333333	0.243718623352326	-0.0210229240996193	-0.0224302377531647	1:1	1:1
11008	Bury	969	4519	969	667	0.0646	0.0442514272284839	0.0646	0.0444666666666667	0.226627534091432	0.0897886166087243	0.0888388668837152	1:1	1:1
11009	Newcastle	1204	5272	1204	774	0.0802666666666667	0.0516250330490301	0.0802666666666667	0.0516	0.247773906919802	0.115595842894414	0.115696874715485	1:1	1:1
11010	Leeds	1358	8268	1358	1238	0.0905333333333333	0.0809627794479098	0.0905333333333333	0.0825333333333333	0.279950760564128	0.0341865614729458	0.0285764538873879	1:1	1:1
11011	Bristol	1299	10104	1299	1524	0.0866	0.0989414518071699	0.0866	0.1016	0.290045238645163	-0.0425500927538696	-0.0517160704656516	1:1	1:1
11012	Barts	286	4797	286	635	0.0190666666666667	0.04697368807591	0.0190666666666667	0.0423333333333333	0.178143607229316	-0.156654632985622	-0.130606239699169	1:1	1:1
11013	Nottingham	979	6400	979	951	0.0652666666666667	0.0626707533220395	0.0652666666666667	0.0634	0.244693746230851	0.010608825867491	0.00762858346574007	1:1	1:1
11014	Sheffield	936	5479	936	792	0.0624	0.0536520402267898	0.0624	0.0528	0.233751725989663	0.0374241505005917	0.0410692154650637	1:1	1:1
11016	Liverpool	1065	5106	1065	817	0.071	0.0499995103847397	0.071	0.0544666666666667	0.238179091594987	0.0881710039056273	0.0694155529043984	1:1	1:1
11017	Middlesbrough	668	3201	668	466	0.0445333333333333	0.0313451689662263	0.0445333333333333	0.0310666666666667	0.190935545281989	0.0690712897257013	0.0705299091731612	1:1	1:1
11018	Hounslow	773	8199	773	1054	0.0515333333333333	0.0802871103886566	0.0515333333333333	0.0702666666666667	0.247708234807591	-0.11607921342485	-0.0756266070358322	1:1	1:1
11020	Croydon	727	6591	727	910	0.0484666666666667	0.0645410836164942	0.0484666666666667	0.0606666666666667	0.230752227541785	-0.0696609394460415	-0.0528705622041754	1:1	1:1
11021	Birmingham	772	4411	772	648	0.0514666666666667	0.0431938582661744	0.0514666666666667	0.0432	0.212304024647609	0.0389667996837261	0.0389378707275476	1:1	1:1
11022	Swansea	61	378	61	55	0.00406666666666667	0.00370149136808296	0.00406666666666667	0.00366666666666667	0.0622009614822145	0.00587089475599381	0.00643076876093586	1:1	1:1
11023	Wrexham	19	87	19	18	0.00126666666666667	0.000851930552971475	0.00126666666666667	0.0012	0.0325289639362108	0.0127497486396581	0.00204945558049127	1:1	1:1
