Method	SNP	Effect_allele	N	N_case	N_control	N_genotype_missing	Effect_allele_count	EAF	MAC	Beta	SE	OR	OR_lower	OR_upper	P
Plain logistic	rs4988235_A	A	386005	353	385652	46275	544282	0.705019365034132	227728	-0.441063577741596	0.071805716444572	0.643351802418024	0.558889901178208	0.740577957844586	8.1254306921989e-10
PC-adjusted logistic	rs4988235_A	A	386005	353	385652	46275	544282	0.705019365034132	227728	-0.332212325710685	0.0849341033589386	0.717334998020522	0.60732988462274	0.84726523823991	9.17578453847778e-05
CLR 1:6	rs4988235_A	A	2243	353	1890	285	2911	0.64890771288453	1575	-0.385825513919939	0.0914556071334248	0.67988914652323	0.568315530019907	0.813367270720007	2.45694175319388e-05
CLR 1:4	rs4988235_A	A	1606	353	1253	207	2050	0.638231631382316	1162	-0.340889695665285	0.0950149319916015	0.711137345412125	0.590303207915362	0.856706040656168	0.00033354557196624
CLR 1:1	rs4988235_A	A	630	315	315	75	782	0.620634920634921	478	-0.376706619023694	0.128788256532296	0.686117338145551	0.533054503629828	0.883131084154289	0.00344447897813178
