ANALYSIS	RATIO	N_VARIANTS	N_WITH_INFORMATIVE_STRATA	MEDIAN_INFORMATIVE_STRATA	Q1_INFORMATIVE_STRATA	Q3_INFORMATIVE_STRATA	MEDIAN_PERCENT_OF_1TO6
LCT/TV rare variants	1:6	14	12	161.5	93.25	649.25	100
LCT/TV rare variants	1:4	14	12	124	69.5	461.5	72.7325725626395
LCT/TV rare variants	1:1	14	12	53.5	28.75	189.75	30.1422377607515
Chromosome 2/TV rare variants	1:6	100	100	531.5	174.25	1357.5	100
Chromosome 2/TV rare variants	1:4	100	100	409	126.5	998.5	72.4147407295096
Chromosome 2/TV rare variants	1:1	100	100	167	51.5	399.5	29.0244556199423
