Ratio	N_CASE_PRE	N_CONTROL_PRE	N_CASE_POST	N_CONTROL_POST	N_CENTRES	MAX_ABS_SMD_PRE	MAX_ABS_SMD_POST	MAX_PRE_CENTRE	MAX_POST_CENTRE	N_LEVELS_ABOVE_0_1_PRE	N_LEVELS_ABOVE_0_1_POST	TOTAL_VARIATION_PRE	TOTAL_VARIATION_POST
1:6	15000	102121	15000	90000	22	0.156654632985622	0.135159370309503	Barts	Barts	5	3	0.135380626250559	0.117877777777778
1:4	15000	102121	15000	60000	22	0.156654632985622	0.129109320046456	Barts	Barts	5	2	0.135380626250559	0.116883333333333
1:1	15000	102121	15000	15000	22	0.156654632985622	0.130606239699169	Barts	Barts	5	4	0.135380626250559	0.120733333333333
